Date,USD_Index,Yield_10Y
2023-01-03,122.0844,3.79
2023-01-04,121.5108,3.69
2023-01-05,122.0786,3.71
2023-01-06,121.0814,3.55
2023-01-09,120.1403,3.53
2023-01-10,120.234,3.61
2023-01-11,120.1445,3.54
2023-01-12,119.4108,3.43
2023-01-13,119.1422,3.49
2023-01-17,119.2186,3.53
2023-01-18,119.08,3.37
2023-01-19,119.6033,3.39
2023-01-20,119.3588,3.48
2023-01-23,119.1671,3.52
2023-01-24,119.1174,3.46
2023-01-25,118.995,3.46
2023-01-26,119.0472,3.49
2023-01-27,118.9521,3.52
2023-01-30,118.9079,3.55
2023-01-31,118.991,3.52
2023-02-01,118.6396,3.39
2023-02-02,118.349,3.4
2023-02-03,119.5014,3.53
2023-02-06,120.5116,3.63
2023-02-07,120.3298,3.67
2023-02-08,120.139,3.63
2023-02-09,119.9785,3.67
2023-02-10,120.1531,3.74
2023-02-13,120.0145,3.72
2023-02-14,119.9601,3.77
2023-02-15,120.4926,3.81
2023-02-16,120.5069,3.86
2023-02-17,120.6023,3.82
2023-02-21,120.678,3.95
2023-02-22,120.8969,3.93
2023-02-23,121.141,3.88
2023-02-24,121.6297,3.95
2023-02-27,121.4656,3.92
2023-02-28,121.4062,3.92
2023-03-01,120.6971,4.01
2023-03-02,121.1949,4.08
2023-03-03,120.8468,3.97
2023-03-06,120.5776,3.98
2023-03-07,121.531,3.97
2023-03-08,121.5222,3.98
2023-03-09,121.5225,3.93
2023-03-10,121.2963,3.7
2023-03-13,120.9157,3.55
2023-03-14,121.052,3.64
2023-03-15,122.1149,3.51
2023-03-16,121.751,3.56
2023-03-17,121.5923,3.39
2023-03-20,121.0637,3.47
2023-03-21,120.9535,3.59
2023-03-22,120.6883,3.48
2023-03-23,119.8174,3.38
2023-03-24,120.5106,3.38
2023-03-27,120.3239,3.53
2023-03-28,119.7987,3.55
2023-03-29,119.8223,3.57
2023-03-30,119.5103,3.55
2023-03-31,119.4611,3.48
2023-04-03,119.4342,3.43
2023-04-04,119.2641,3.35
2023-04-05,119.4068,3.3
2023-04-06,119.4229,3.3
2023-04-07,119.4673,3.39
2023-04-10,119.8962,3.41
2023-04-11,119.6409,3.43
2023-04-12,119.1341,3.41
2023-04-13,118.5376,3.45
2023-04-14,118.983,3.52
2023-04-17,119.3981,3.6
2023-04-18,119.2345,3.58
2023-04-19,119.4377,3.6
2023-04-20,119.2525,3.54
2023-04-21,119.4472,3.57
2023-04-24,119.3486,3.52
2023-04-25,119.7551,3.4
2023-04-26,119.4758,3.43
2023-04-27,119.5754,3.53
2023-04-28,119.376,3.44
2023-05-01,119.5845,3.59
2023-05-02,119.7514,3.44
2023-05-03,119.2773,3.38
2023-05-04,119.19,3.37
2023-05-05,118.7184,3.44
2023-05-08,118.7415,3.52
2023-05-09,118.984,3.53
2023-05-10,118.7561,3.43
